[        Time]   Unix Time           req/s         hits/s     misses/sec  % hit -  TotKeys %Cache  %Hits
--------------------------------------------------------------------------------------------------------
[ 02-28 13:26]  1298928360          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   2.38
[ 02-28 13:43]  1298929380          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   2.33
[ 02-28 13:59]  1298930340          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   2.27
[ 02-28 14:14]  1298931240          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   2.22
[ 02-28 14:31]  1298932260          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   2.17
[ 02-28 14:51]  1298933460          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   2.13
[ 02-28 15:11]  1298934660          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   2.08
[ 02-28 15:31]  1298935860          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   2.04
[ 02-28 15:49]  1298936940          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   2.00
[ 02-28 16:07]  1298938020          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   1.96
[ 02-28 16:25]  1298939100          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   1.92
[ 02-28 16:44]  1298940240          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   1.89
[ 02-28 17:04]  1298941440          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   1.85
[ 02-28 17:22]  1298942520          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   1.82
[ 02-28 17:42]  1298943720          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   1.79
[ 02-28 18:01]  1298944860          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   1.75
[ 02-28 18:20]  1298946000          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   1.72
[ 02-28 18:41]  1298947260          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   1.69
[ 02-28 19:01]  1298948460          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   1.67
[ 02-28 19:19]  1298949540          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   1.64
[ 02-28 19:41]  1298950860          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   1.61
[ 02-28 20:03]  1298952180          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   1.59
[ 02-28 20:21]  1298953260          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   1.56
[ 02-28 20:39]  1298954340          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   1.54
[ 02-28 20:58]  1298955480          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   1.52
[ 02-28 21:20]  1298956800          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   1.49
[ 02-28 21:42]  1298958120          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   1.47
[ 02-28 22:03]  1298959380          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   1.45
[ 02-28 22:25]  1298960700          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   1.43
[ 02-28 22:48]  1298962080          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   1.41
[ 02-28 23:12]  1298963520          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   1.39
[ 02-28 23:33]  1298964780          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   1.37
[ 02-28 23:54]  1298966040          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   1.35
[ 03-01 00:12]  1298967120          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   1.33
[ 03-01 00:26]  1298967960          0.0167         0.0000         0.0167   0.00 - 1.00e+01 100.00   1.32
